Model_ID,Imitation,Shield_Active,Shield_Dist,Reward_Active,Reward_Dist,Total_Steps_Planned,Step,Deaths,Reward_Accumulated,Efficiency,PPM,Interventions,Penalties
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,90000,430,9178.25,0.1019805520772934,21.34476661682129,12703,35369
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,100000,475,12890.25,0.12890249490737915,27.13736915588379,14053,39103
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,110000,524,15935.75,0.14487046003341675,30.4117374420166,15451,43157
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,120000,568,19910.0,0.16591666638851166,35.052818298339844,16737,46759
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,130000,617,21962.5,0.16894230246543884,35.59562301635742,18043,50588
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,140000,659,28578.5,0.20413213968276978,43.36646270751953,19276,54090
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,150000,706,31400.5,0.20933666825294495,44.476627349853516,20596,57945
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,160000,754,35117.0,0.21948124468326569,46.57427215576172,21898,61756
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,170000,797,39846.5,0.23439118266105652,49.995609283447266,23083,65282
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,180000,843,42636.5,0.2368694394826889,50.57710647583008,24391,69042
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,190000,887,46274.25,0.2435486912727356,52.16939163208008,25651,72699
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,200000,935,49971.75,0.24985875189304352,53.44572067260742,27013,76600
dqn_pacman_Imitation_ShieldON_d10_Penalty_d20_steps400000,True,True,10.0,True,20,400000,210000,983,52904.5,0.2519261837005615,53.81943130493164,28389,80592
